学号	姓名	班级
10001	邬程	3	
10002	严行	4	
10003	常高司	15	
10004	余力	14	
10005	时能木	14	
10006	米车	15	
10007	郝行	12	
10008	窦向开	19	
10009	钱游后	20	
10010	苏关重	3	
10011	乐司	11	
10012	任月	5	
10013	谈团方	2	
10014	湛列运	17	
10015	范车	9	
10016	穆鲁	14	
10017	邵假	1	
10018	郎旅力	6	
10019	宋热	19	
10020	滕是宁	9	
10021	纪运	6	
10022	吴石	19	
10023	卫顺阳	1	
10024	熊公	18	
10025	何大	6	
10026	雷旅中	15	
10027	蒋其游	7	
10028	鲍北	17	
10029	蒋力	20	
10030	章列求	4	
10031	孟席	16	
10032	尤运公	16	
10033	常部	3	
10034	郎送武	14	
10035	沈列西	5	
10036	俞嘉	3	
10037	常司等	2	
10038	元京昨	16	
10039	袁一乌	3	
10040	乐客市	3	
10041	明海	6	
10042	柳列	2	
10043	宋以	16	
10044	郝最京	7	
10045	黄次南	4	
10046	孙输	15	
10047	强加	18	
10048	章车	17	
10049	谈局千	19	
10050	葛旅公	5	
10051	凤加	12	
10052	滕北运	6	
10053	殷行	1	
10054	席团	3	
10055	顾运	8	
10056	李东	9	
10057	花东乌	8	
10058	严列	4	
10059	闵集个	7	
10060	岑足鲁	15	
10061	娄司客	3	
10062	袁路输	2	
10063	伍圳	6	
10064	贾高	6	
10065	许车哈	18	
10066	张北	3	
10067	花恩	17	
10068	毛送局	13	
10069	柏都后	9	
10070	韩发	17	
10071	康车等	6	
10072	尤北圳	18	
10073	潘人	13	
10074	路列	7	
10075	喻旅	13	
10076	吕胶	14	
10077	韩增	7	
10078	凤开司	7	
10079	阮长较	13	
10080	汪车	2	
10081	卫集热	20	
10082	湛足哈	20	
10083	薛武预	7	
10084	钱局	1	
10085	倪霍方	6	
10086	成木	6	
10087	季重	1	
10088	邬月	8	
10089	和成	3	
10090	狄位团	6	
10091	计日	15	
10092	滕团局	18	
10093	尹车组	16	
10094	冯组	7	
10095	贺阳需	3	
10096	柳生	2	
10097	窦勒客	4	
10098	常团团	1	
10099	屈旅力	4	
10100	谈车	11	
10101	邬门	4	
10102	陶车返	4	
10103	孔流宜	2	
10104	臧位努	16	
10105	傅开返	10	
10106	柳方热	7	
10107	平山	3	
10108	于西外	2	
10109	黄理	1	
10110	华返	11	
10111	岑等尔	19	
10112	廉普	8	
10113	奚旅动	6	
10114	朱至	15	
10115	柳至	2	
10116	余施武	10	
10117	席伊	20	
10118	茅列车	2	
10119	蓝局现	4	
10120	余当	4	
10121	柏向对	15	
10122	毕济	8	
10123	乐一	18	
10124	殷列游	11	
10125	梁局	18	
10126	明车	3	
10127	严动力	11	
10128	谢送	10	
10129	马外局	8	
10130	伍开铁	12	
10131	闵动一	12	
10132	廉东铁	6	
10133	毛旅方	5	
10134	安司列	8	
10135	纪口	15	
10136	常加列	8	
10137	强广万	11	
10138	纪重	12	
10139	潘公昨	14	
10140	潘司	16	
10141	米至	2	
10142	皮西流	9	
10143	顾车	10	
10144	元团团	20	
10145	鲍较输	7	
10146	谢理	17	
10147	范关	6	
10148	萧铁力	14	
10149	尹最送	15	
10150	杨普组	17	
10151	祁车	4	
10152	俞车求	16	
10153	柏昨东	5	
10154	时速	10	
10155	秦局者	7	
10156	葛加热	6	
10157	梁通	11	
10158	方分行	7	
10159	顾客万	9	
10160	尹京返	17	
10161	袁区	3	
10162	金等乐	16	
10163	郎济	16	
10164	穆区求	17	
10165	范速蒙	19	
10166	和局列	6	
10167	廉部	16	
10168	张济	2	
10169	彭郑挂	4	
10170	苏关热	5	
10171	蓝车车	7	
10172	强是	4	
10173	季集	20	
10174	蓝等重	1	
10175	严局	11	
10176	吴路动	17	
10177	萧库	4	
10178	李铁	1	
10179	柳列	19	
10180	张普武	11	
10181	钱在	2	
10182	鲁列	19	
10183	酆直宁	14	
10184	时开十	14	
10185	元较需	8	
10186	康运圳	16	
10187	卞昆游	18	
10188	潘城济	20	
10189	伏方考	9	
10190	俞车	10	
10191	纪送	20	
10192	范较	15	
10193	梁列	7	
10194	褚优足	13	
10195	姚安	19	
10196	祁生个	8	
10197	姚至运	14	
10198	朱车列	14	
10199	花发团	17	
10200	余择车	18	
